,API Name,Description,Category,Followers,Versions,API Tags,SDKs,How to,Source Code,Libraries,Developers,Changlog,Articles
11,CMSOnlineAPI," The CMSOnline API in agreement with USAePay Solutions, integrate merchant payments into applications. Developers can access a SOAP interface with libraries in PHP, JavaScript, ColdFusion, Ruby, .NET, and Perl, requesting HTTP GET calls to receive XML responses in return.",Merchants,4,REST," Merchants, Credit, Cards, Payments, Transactions", 0,0,1,0, 0, 1,
12,OrangeMobileConnectSpain-LimitedAPI," The Orange Mobile Connect Spain-Limited API, based on Mobile Connect standard, provides developers tools from the Orange authentication to use with your service. It offers the full power and security of Orange authentication. Users get to experience sign in without login and passwords with a user authentication and identity service based on the OpenID Connect/OAuth2 standards. Orange is a global telecommunication company that provides IT and telecommunications services.",Authentication,2,REST," Authentication, Accessibility, Authorization, Identity, Mobile", 0,0,0,0, 0, 1,
13,OrangeNetworkInfoSpainAPI," The Orange Network Info Spain API gives developers tools to help businesses protect against identity theft and fraud. By cross-checking user device information and network details, this API helps reduce fraud, speed up transactions, and improve confidence and security. Orange is a global telecommunication company that provides IT and telecommunications services.",Authentication,2,REST," Authentication, Authorization, Identity, Security, Transactions", 0,0,0,0, 0, 1,
14,FantasyDataNCAABasketballAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the NCAA Basketball API. The FantasyData NCAA Basketball API supports real time conveyance of weekly and seasonal soccer data including active teams, player profiles, teams, box scores, box scores by date, match day fixtures, match day stats, table standings, and stadiums. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,3,RESTv2," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
15,LimeLightCRMAPI," The Lime Light CRM API integrates customer memberships into applications. It aims to automate selling processes, by providing JSON protocols using HTTPS POST as request format. Developers can use Lime Light to target direct response advertiser interested in marketing strategies integrations.",CustomerRelationshipManagement,9,REST," Customer, Relationship, Management, Automation, Marketing, Payments, Sales, Subscriptions", 0,0,0,0, 0, 2, 1
16,OrangeCheckIDSpainAPI," With the Orange Check ID Spain API, customers can access extra security as their identity is double-checked prior to any transaction validation. Users can benefit from reduced fraud, reduced costs and faster transactions. Orange is a global telecommunication company that provides IT and telecommunications services.",Authentication,3,REST," Authentication, Authorization, Identity", 0,0,0,0, 0, 1,
17,OrangeFormFillingSpainAPI," Using the Orange Form Filling Spain API, customers can automatically complete registration forms faster with reliable information from Orange, such as address and telephone numbers. With the customer's profile attributes, you'll have tools to be able to automatically fill forms during sign-up processes on your web site. Orange is a global telecommunication company that provides IT and telecommunications services.",Forms,4,REST," Forms, Authentication, Authorization, Identity, Registration", 0,0,0,0, 0, 1,
18,OrangeMobileConnectSpainAPI," The Orange Mobile Connect Spain API gives users tools to connect with Orange customers and quickly authenticate users. This is done securely and without the need for user names and passwords. Along with the benefits of the Customers Authentication API, Mobile Connect helps with management of sign-in and consent of users. Orange is a global telecommunication company that provides IT and telecommunications services.",Authentication,4,REST," Authentication, Accessibility, Authorization, Mobile", 0,0,0,0, 0, 1,
19,KiniScoreAPI," KiniScore provides real-time, accurate sports statistics and sports content. The data coverage focuses on major African leagues and players throughout the continent. Data can be retrieved via API, that includes schedules, league table, and statistics.The API uses RESTful calls and responses are formatted in JSON.",Sports,6,RESTv1.0," Sports, African, Content, Data-as-a-Service, Real, Time", 0,0,0,0, 0, 2, 1
20,AISHubXMLWebserviceAPI," This API allows AISHub members to access the webservice and retrieve AISHub data in XML or JSON format. Some data forms that it returns are all AISHub data as XML ZIP file, all vessels in an area with boundaries as JSON file and all data for vessel with MMSI and includes; MMSI, Time, Longitude latitude and more. AIS vessel tracking develops navigation safety the. AIS tracking system was originally developed as a collision avoidance tool which enables commercial vessels to 'see' each other more clearly in any conditions and to improve the helmsman's information about the surrounding environment. AIS continuously transmits vessels' position, identity, speed and course, along with other relevant information, to all other AIS equipped vessels within range.",Marine,10,REST," Marine, Location", 0,0,0,0, 0, 2, 1
21,GoogleFirebaseAPPIndexingAPI," The Google Firebase APP Indexing API supports the introduction and visibility of apps in Google Search. It allows Google to index app content for purposes of exposing it in Search results. Users can easily find, install, and launch the app to access its content from their preferred devices. However, a developer's app and website must have similar HTTP/HTTPS URLs to make it possible for Google Search to crawl, index, and support the exposure of the app’s public content. Developers can deploy either the iOS SETUP or the ANDROID SETUP platform when using the Google Firebase APP Indexing API. The Android platform provides additional user friendly search functionalities that include performance rankings of URLs and the autocomplete suggestions feature.",Applications,8,REST," Applications, Content, Linked, Data, Search", 22,0,22,0, 0, 49, 3
22,MRTSingaporeSMRTAPI," MRTAPI.com provides live train arrival timings on all platforms in a MRT station in Singapore. Currently, only SMRT trains and train stations are supported. Newer lines such as Downtown Line stations are not included.",Transportation,32,RESTv2.0, Transportation, 0,0,0,0, 0, 1, 1
23,FantasyDataNHLAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the NHL API. The FantasyData NHL API supports real time conveyance of weekly and seasonal NHL data including active teams, player profiles, box scores, match day fixtures, match day stats, table standings, and stadiums. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,4,RESTv2," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
24,FantasyDataSoccerAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the Soccer API. The FantasyData Soccer API supports real time conveyance of weekly and seasonal soccer data including active teams, player profiles, box scores, match day fixtures, match day stats, table standings, and stadiums. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,8,RESTv2," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
25,FantasyDataPGAGolfAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the PGA Golf API. The FantasyData PGA Golf API supports real time conveyance of weekly and seasonal data of the PGA Golf tour including player profiles and stats, injuries, news by player, news by date, and tour schedules. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,13,RESTv2," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
26,,,,,,,,,,,,,
27,FantasyDataNASCARAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the NASCAR API. The FantasyData NASCAR API supports real time conveyance of weekly and seasonal race data including drivers, driver profiles, race results, and race schedules. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,4,RESTv2," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
28,USPSSCANAPI," This API allows integrators to consolidate multiple domestic and international labels and custom forms through one Electronic File Number (efile). USPS Web Tools® API library enables external e-commerce shopping cart and shipping software to access USPS® data. From shipping rates to tracking information to scheduling a package pickup, Web Tools makes shipping with the U.S. Postal Service® easily accessible.",Mail,7,RESTv2.9," Mail, Postal, Shipping", 0,0,0,0, 0, 0,
29,USPSExpressMailLabelAPI," This API will let customers create Priority Mail Express Labels that are printed without postage and must be purchased and applied separately. It allows you to integrate USPS Web Tools® into a web site or shipping application. USPS Web Tools® API library enables external e-commerce shopping cart and shipping software to access USPS® data. From shipping rates to tracking information to scheduling a package pickup, Web Tools makes shipping with the U.S. Postal Service® easily accessible.",Shipping,2,RESTv3.5," Shipping, Government, Mail, Postal", 1,0,0,0, 0, 0,
30,USPSeVSLabelAPI," This API signature is for testing purposes and will not generate usable labels and barcodes. The Request Parameter sections present the XML input tags for generating Live requests and the restrictions on the values allowed and returns requests for phone, zip, city, address and more. USPS Web Tools® API library enables external e-commerce shopping cart and shipping software to access USPS® data. From shipping rates to tracking information to scheduling a package pickup, Web Tools makes shipping with the U.S. Postal Service® easily accessible.",Mail,4,RESTv3.8.2," Mail, Postal, Shipping", 1,0,0,0, 0, 0,
31,USPSeVSPriorityMailExpressInternationalLabelAPI," This API lets customers generate eVS Priority Mail Express International labels given the weight and dimensions of the item. USPS Web Tools® API library enables external e-commerce shopping cart and shipping software to access USPS® data. From shipping rates to tracking information to scheduling a package pickup, Web Tools makes shipping with the U.S. Postal Service® easily accessible.",Shipping,1,RESTv3.1," Shipping, Postal, Shipping", 0,0,0,0, 0, 0,
32,BarcodeLookupAPI," The Barcode Lookup API allows developers to query a database of more than 150 million products by barcode or search text. The API returns a given product's name, category, description, customer reviews, photos, etc. It could be used to provision a shopping app, barcode scanning app, or product information lookup tool with necessary information.",Barcodes,71,RESTv2.0," Barcodes, Big, Data, Data, Data-as-a-Service, Inventory, Products, Scanning", 0,0,0,0, 0, 3, 2
33,MoesifAPI," The Moesif API allows developers to ingest your API event data, with Key and ID as authentication factors. Moesif is a hosted service to debug REST APIs and integrated app. Open source SDKS and plugins are available in lieu of this API.",Tools,7,RESTv1," Tools, Application, Development, DevOps, Machine, Learning", 7,0,5,0, 0, 17, 1
34,DetrackAPI," The Detrack’s Application Programming Interface (API) performs adding, editing, and deleting deliveries. It provides an HTTP interface with JSON format, allowing developers to integrate shipping, time tracking, and transportation features into a web service.",Shipping,8,RESTv1," Shipping, Location, Time, Tracking, Transportation", 0,0,4,0, 0, 6, 1
35,TransltrAPI," The Transltr API provides translation features with JSON formats. Developers can GET and POST translate requests, including query as parameter type and string as data type.",Translation,7,RESTv1.0," Translation, Language, Languages", 0,0,0,0, 0, 0,
36,LiveZillaAPI," LiveZilla is a customer support platform with features such as masked IP addresses for privacy, integrated FTP client, automated file upload, and on-the-fly message translation. The LiveZilla API offers access to several methods including Chat, TicketMessage, and KnowledgeBaseEntry. This REST API is solely based on POST and JSON; it does not support GET, PUT, DELETE or custom headers.",CustomerService,32,RESTv2," Customer, Service, Chat", 0,0,0,0, 0, 2, 1
37,KeyCDNAPI," The KeyCDN API integrates zones, zone aliases, zone referrers, and reports associated with web performance. Available in REST architecture with HTTP requests and JSON responses. Developers can authenticate with Key to interact with endpoints available as zones, cache, URL, and reports.",Content,3,RESTv1.0," Content, Caching, Hosting, Performance", 0,0,0,0, 0, 3, 1
38,thewebconzAPI," thewebconz offers integration with a hospitality management solution. The API provides integration with hotels and flights booking capabilities. Features include house rental support, customized reservation emails, newsletters, and reminders. Additionally, developers can order themes with price comparison templates.",Hotels,6,REST," Hotels, Aggregation, Booking, Reservations", 0,0,0,0, 0, 1, 1
39,SuredBitsAPI," The SuredBits API integrates sports and bitcoin data in real time. It can be useful for NFL stats and cryptocurrency payments. Endpoints available to send requests and receive responses in return, currently supporting sports data, such as teams, players, games, scores, and statistics. For additional information about formats, contact support@suredbits.com",Sports,5,REST," Sports, Bitcoin, Cryptocurrency, Statistics", 0,0,0,0, 0, 2, 2
40,ElanexTranslationAPI," Elanex provides translation services with a RESTful API that features JSON format for data exchange, a no-coding-required authentication mechanism, webhooks, and file storage with 256-bit AES encryption. Elanex offers an automated translation network of 36,000 translators and editors that can meet any demand. OData Version 4.0 is supported by the Translation API in order to ask data-specific questions such as ""How many completed translation projects do I have where source language is Spanish?"".",Translation,4,REST," Translation, Documents, Editing, Languages", 0,0,0,0, 0, 3, 1
41,ARSnovaAPI," The ARSnova API integrates learning management systems in an open source environment. HTTPS callbacks can be performed with SSL web socket encryption. JSON formats are available under OAuth2 authentication. ARSnova is powered by Technische Hochschule Mittelhessen, University of Applied Sciences, aiming to be an innovative approach to Audience Response Systems (ARS). Additional API information at https://github.com/thm-projects/arsnova-backend/blob/master/README.md",Education,9,RESTv2.5," Education, Learning, Management, Systems, Open, Source", 0,0,0,0, 0, 2, 2
42,DomainConnectShopmaticAPI, The Domain Connect Shopmatic API provides a protocol to connect service providers such as Shopmatic with domain name services. The API allows developers to configure Shopmatic features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,2,RESTv2.0," Domains, eCommerce, Web, Site, Management", 0,0,0,0, 0, 1,
43,DomainConnectSmugMugAPI, The Domain Connect SmugMug API provides a protocol to connect service providers such as SmugMug with domain name services. The API allows developers to configure SmugMug features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,2,RESTv2.0," Domains, Photos, Web, Site, Management", 0,0,0,0, 0, 1,
44,DomainConnectSquarespaceAPI, The Domain Connect Squarespace API provides a protocol to connect service providers such as Squarespace with domain name services. The API allows developers to configure Squarespace features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,1,RESTv2.0," Domains, Web, Site, Management", 0,0,0,0, 0, 1,
45,DomainConnectWixAPI, The Domain Connect Wix.com API provides a protocol to connect service providers such as Wix.com with domain name services. The API allows developers to configure Wix.com features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,1,RESTv2.0," Domains, Web, Site, Management", 0,0,0,0, 0, 1,
46,OpenLibraryReadAPI," This API allows you to turn book identifier information (ISBN, LCCN etc.) into direct links to Open Library's online-readable or borrowable books from the Open Library lending program. Returned items may include readable matches for different editions of the same work and information from the Data API including all Open Library data about a book. It is used to request information on one or more books using library identifiers such as; ISBNs, OCLC Numbers, LCCNs and OLIDs (Open Library Identifiers). Requests can be made in formats of single and multiple. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,11,REST," Library, Books, Open, Data, Reference", 0,0,0,0, 0, 0,
47,TriposoAPI," The Triposo API integrates travel content features into applications. Developers can implement point of interest, tours, and articles by requesting calls to receiving responses in JSON formats. Triposo uses Artificial Intelligence to mine and parse travel data and travel insights. API is available in early release at api@triposo.com",Travel,18,REST," Travel, Air, Travel, Artificial, Intelligence, Content, Transportation", 0,0,0,0, 0, 2, 1
48,SalesforceOmniChannelAPI," This service provides a way to customize your Omni-Channel records and console integration with Omni-Channel API objects and console methods. The Omni-Channel SOAP API Objects allows you to create, retrieve, update or delete records, such as accounts, leads, and custom objects. The API includes several objects to control and customize your Omni-Channel records. Salesforce is a customer relationship management services company.",Enterprise,1,RPCv48.0," Enterprise, Customer, Relationship, Management, Data, Integration", 7,0,1,0, 0, 10,
49,PayExAPI," The PayEx API can access user account information and initiate functionality for payment purposes. Based in the Scandinavian region, developers can benefit from the technical reference that includes XML parser for orders, merchants, purchases, and verifications.
Editors' note: There is one WSDL file per API resource. This profile only connects to one of those files. Be sure to look for the others on the provider's developer portal.",Payments,16,RPCv2," Payments, Banking, Credit, Cards, Financial", 3,0,0,0, 0, 7, 1
50,FantasyDataNFLScoresAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the NFL Scores API.
The FantasyData NFL Scores API provides weekly and seasonal NFL data of scores, teams, game stats, news by player, news by team, team table standings, and stadiums. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,8,RESTv3," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
51,FantasyDataNFLStatsAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the NFL Stats API.
The FantasyData NFL Stats API supports real time transmission of daily, weekly, and seasonal NFL statistics including player and team game stats, player profiles, box scores, daily fantasy players, fantasy defense game stats, fantasy defense season stats, fantasy players by ADP, and player and team injuries. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,5,RESTv3," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
52,,,,,,,,,,,,,
53,FantasyDataNFLProjectionsAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the NFL Projections API.
The FantasyData NFL Projections API transmits weekly and seasonal NFL predictions including projections of fantasy defense season stats, player game stats by player, player game stats by team, and player stats by week and season. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,2,RESTv3," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
54,FantasyDataNFLPlay-By-PlayAPI," FantasyData.com provides developers, the fantasy community, and media clients around the world with real-time content and statistical data of different sports disciplines. Its product portfolio features a variety of fantasy sports, web applications, and a host of RESTful APIs that include the Play-By-Play API.
The FantasyData NFL Play-By-Play API conveys weekly and seasonal NFL data of each game. Developers can deploy the API in website automation or application integration. The API returns responses in either JSON or XML format.",Sports,2,RESTv3," Sports, Fantasy, Sports, Games, Statistics", 0,0,0,0, 0, 1, 1
55,GoogleCloudIdentityandAccessManagementAPI," This Rest API manages identity and access control for Google Cloud Platform resources, including the creation of service accounts, which you can use to authenticate to Google and make API calls. It lets administrators authorize who can take action on specific resources, giving you full control and visibility to manage cloud resources centrally. Cloud IAM provides a unified view into security policy across your entire organization and can be used for established enterprises with complex organizational structures, hundreds of workgroups, projects and more. Google Cloud helps developers build with cloud tools and infrastructure, applications, maps and devices.",Cloud,3,RESTv1.0," Cloud, API, Management, Authentication, Identity, Platform-as-a-Service", 0,0,0,0, 0, 1,
56,TreasuryDirectSecurityInformationAPI," This REST API returns data about a specific security identified by CUSIP and issue date, auctioned securities, announced securities and more. These services are used as a standard means for requesting TreasuryDirect.gov data. TreasuryDirect is a financial services website that lets you buy and redeem securities directly from the U.S. Department of the Treasury in paperless electronic form.",Financial,6,REST," Financial, Data, Government", 0,0,0,0, 0, 4, 1
57,TreasuryDirectDebtInformationAPI," This REST API returns the most recent TreasuryDirect debt data, debt data for a particular date, debt data based on the parameters passed and more. These services are used as a standard means for requesting TreasuryDirect.gov data. TreasuryDirect is a financial services website that lets you buy and redeem securities directly from the U.S. Department of the Treasury in paperless electronic form.",Financial,2,REST," Financial, Data, Government", 0,0,0,0, 0, 4, 1
58,DomainConnectWiseStampAPI, The Domain Connect WiseStamp API provides a protocol to connect service providers such as WiseStamp with domain name services. The API allows developers to configure WiseStamp features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,1,RESTv2.0," Domains, Email, Web, Site, Management", 0,0,0,0, 0, 1,
59,DomainConnectUnitedDomainsAPI, The Domain Connect United Domains API provides a protocol to connect domain name services such as United Domains with service providers. The API allows developers to configure mail services and other features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,1,RESTv2.0," Domains, Web, Site, Management", 0,0,0,0, 0, 1,
60,DomainConnectNamecomAPI, The Domain Connect Name.com API provides a protocol to connect domain name services such as Name.com with service providers. The API allows developers to configure mail services and other features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,1,RESTv2.0," Domains, Web, Site, Management", 0,0,0,0, 0, 1,
61,DomainConnectShopifyAPI, The Domain Connect Shopify API provides a protocol to connect service providers such as Shopify with domain name services. The API allows developers to configure Shopify features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,2,RESTv2.0," Domains, eCommerce, Web, Site, Management", 0,0,0,0, 0, 1,
62,DomainConnectFreshBooksAPI, The Domain Connect FreshBooks API provides a protocol to connect service providers such as FreshBooks with domain name services. The API allows developers to configure FreshBooks features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,1,RESTv2.0," Domains, Accounting, Web, Site, Management", 0,0,0,0, 0, 0,
63,DomainConnectPayTMAPI, The Domain Connect PayTM API provides a protocol to connect service providers such as PayTM with domain name services. The API allows developers to configure PayTM features with domain names and services. The Domain Connect protocol was developed by GoDaddy to serve as an open standard protocol to help developers and users bridge features from service providers with domain name providers.,Domains,3,RESTv2.0," Domains, Payments, Web, Site, Management", 0,0,0,0, 0, 1,
64,NectarDeskAPI," The Nectar Desk API offers a cloud-based interactive call center software with features such as inbound and outbound call handling, reporting, analytics, and voicemail. A REST based API is available for consumption that integrates the Nectar Desk platform via URI paths. Standard HTTP methods are allowed, and responses can be JSON, HTML, XML, and CSV. Nectar Desk is a software development firm based in Canada.",Software-as-a-Service,3,RESTv2," Software-as-a-Service, Telephony", 0,0,0,0, 0, 2,
65,IssuuoEmbedAPI," The Issuu oEmbed API integrates embedding features via URL. HTTPS GET requests are available with url, iframe, maxwidth, maxheight, and format as parameters. JSON and XML responses are displayed as returns. Issuu is a digital publications platform.",Publishing,2,RESTv1.0," Publishing, Books, Magazines, URLs", 0,0,0,0, 0, 4, 1
66,IssuuViewerJavaScriptAPI," The Issuu Viewer JavaScript API integrates a user's perspective view, providing HTTP requests and JSON & XML responses in REST architecture. With the API, developers can implement page viewing, page scanning, and page flipping into reading services. Issuu is a digital publications platform.",Publishing,4,Indirectv1.0," Publishing, Bookmarks, Books, Magazines", 0,0,0,0, 0, 4, 1
67,RancherAPI," The Rancher API allows developers to access a platform for deploying and managing containers in production. Rancher provides infrastructure services that include networking, storage services, host management, load balancing, and more. Rancher comes with commercially-supported distributions of Mesos, Docker Swarm, and Kubernetes in order to make it easy to run applications on any infrastructure.",DevOps,8,RESTv1," DevOps, Application, Development, Applications, Hosting", 2,0,0,0, 0, 3, 2
68,GoogleCloudUserAccountAPI," This API creates and manages users and groups for accessing Google Compute Engine virtual machines. The Google Cloud Platform allows you to add a variety of services such as storage access, machine-learning-based image analysis to your Cloud Platform applications to name a few. It allows developers to build with cloud tools and infrastructure, applications, maps and devices.",Data-as-a-Service,3,RPC," Data-as-a-Service, Cloud, Machine, Learning", 8,0,0,0, 0, 10,
69,CachetHQAPI," The CachetHQ API integrates the status of pages, listing services, and supporting databases. It is available with token as authentication method with JSON formats to send requests and receive responses. Developers can use Cachet to report the status of web pages. CachetHQ is an open source status page system.",Reporting,3,RESTv1," Reporting, Measurements, Open, Source, Web, Site, Management", 0,0,0,0, 0, 3, 1
70,W3CActivityPubAPI," The W3C ActivityPub API is a protocol that provides an API for creating, updating, and deleting content as well as an API for delivering notifications and subscribing to content. ActivityPub is a decentralized networking protocol based on the [ActivityStreams] 2.0 data format. This document is a work in progress and may be updated, replaced, or rendered obsolete at any time. For API development, contact public-socialweb@w3.org",Content,2,Unspecified," Content, Content, Management, Notifications, Standards, Subscriptions", 0,0,0,0, 0, 1,
71,GoogleCloudAppEngineAdminRESTAPI," This is a platform for building scalable web applications and mobile backends. App Engine provides built-in services and APIs such as NoSQL Datastores, Memcache, Task Queues and more. Use this RESTful API with any programming language to manage your App Engine applications. The Google Cloud Platform allows you to add a variety of services such as storage access, machine-learning-based image analysis to your Cloud Platform applications and so on. It allows developers to build with cloud tools and infrastructure, applications, maps and devices.",Applications,6,RESTv1.0," Applications, Application, Development, Management", 2,0,28,0, 0, 30,
72,GoogleAppEngineAdminRPCAPI," This RPC platform is for building scalable web applications and mobile backends. It provisions and manages App Engine applications such as Instance and Versions and can be used with any programming language. The Google Cloud Platform allows you to add a variety of services such as storage access, machine-learning-based image analysis to your Cloud Platform applications. It allows developers to build with cloud tools and infrastructure, applications, maps and devices.",ApplicationDevelopment,3,RPC," Application, Development", 7,0,0,0, 0, 9,
73,GoogleCloudBigtableDataAPI," This RPC API is Google's NoSQL Big Data database service. The Service name bigtable.googleapis.com is needed to create RPC client stubs and includes Marketing data, Financial data, Internet of Things and more. You can store the cluster's data on solid-state drives (SSD) or hard disk drives (HDD). Cloud Bigtable is ideal for storing very large amounts of single-keyed data with very low latency and supports high read and write throughput again at low latency, and it is an ideal data source for MapReduce operations. It powers many core Google services, including Search, Analytics, Maps, and Gmail. It is a sparsely populated table that can scale to billions of rows and thousands of columns, allowing you to store terabytes or even petabytes of data.",Cloud,5,RPC," Cloud, Big, Data, Database-as-a-Service, NoSQL", 8,0,0,0, 0, 11, 1
